text,true_label,pred_label,confidence,top2_label,top2_confidence,margin
ข้อความ: ลิฟต์ตึกคณะเสียใช้งานไม่ได้เลยตอนนี้ ต้องเดินขึ้นบันไดแทน,4,4,0.9153608048015713,7,0.04620419262888295,0.8691566121726884
ข้อความ: หน้าต่างห้องเรียนปิดไม่สนิทครับ,4,4,0.7506794996134449,7,0.1062190438191041,0.6444604557943409
ข้อความ: น้ำขังตรงทางเดินหลายวันแล้ว ช่วยทำความสะอาดหน่อย,3,3,0.8803357113131047,7,0.058157513658647644,0.8221781976544571
ข้อความ: อาจารย์ไม่มาสอนตามตารางเลยค่ะ ไม่มีการแจ้งล่วงหน้า,6,6,0.9181646126460955,7,0.08007185375683568,0.8380927588892598
ข้อความ: ตารางเรียนเทอมนี้ดูได้จากที่ไหนคะ,6,6,0.6001799576750646,7,0.39427263704954135,0.20590732062552325
ข้อความ: อยากทราบตารางเวลารถรับส่งในมอค่ะ หาข้อมูลไม่เจอเลย,2,2,0.9198661762130073,7,0.05426936621066538,0.8655968100023419
ข้อความ: รปภ. มีอยู่ตรงไหนบ้างครับ ถ้าจะขอความช่วยเหลือ,5,5,0.7864076568440173,7,0.16732528723410608,0.6190823696099111
ข้อความ: ทางม้าลายหน้าหอในไม่มี รปภ ดูแลเลย รถวิ่งเร็วผ่านตลอด,5,5,0.774137433357065,7,0.12081648885323555,0.6533209445038294
ข้อความ: เว็บ e-learning เข้าไม่ได้ครับ,1,1,0.9477451505462194,7,0.03432531025442192,0.9134198402917976
ข้อความ: มีโครงการอะไรให้นักศึกษาเข้าร่วมบ้างคะ,7,7,0.740868854885512,6,0.2580588847542508,0.4828099701312612
ข้อความ: ห้องน้ำตึกเรียนรวมสกปรกมากค่ะ ไม่มีคนทำความสะอาดเลย,3,3,0.9077382232191284,7,0.0611266055310846,0.8466116176880438
ข้อความ: เกรดวิชาที่เพิ่งสอบไปยังไม่ออกเลยค่ะ ผ่านมาเกือบเดือนแล้ว,6,6,0.8061556935245724,7,0.19142244662917238,0.6147332468954
ข้อความ: ถังขยะแถวโรงอาหารเหม็นมากค่ะ,3,3,0.9190817677461111,7,0.06199613925832629,0.8570856284877848
ข้อความ: ระบบ student portal ค้างตลอดเลยครับ,1,1,0.983471497382085,7,0.010992172071451091,0.9724793253106339
ข้อความ: มีทุนการศึกษาอะไรบ้างคะ,7,7,0.8204634179818154,6,0.1792378437641748,0.6412255742176407
ข้อความ: สวิตช์ไฟในห้องเรียนกดแล้วไม่ติด,4,4,0.8201919656352007,7,0.08061525656108864,0.7395767090741121
ข้อความ: มีรถจอดขวางทางเดินครับ,5,5,0.8664349707158627,7,0.07305313237341986,0.7933818383424429
ข้อความ: รถรับส่งวันนี้มาช้ามากครับ,2,2,0.9465210332117586,7,0.03493519787750365,0.911585835334255
